,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
1225409,AMJ6UC5QAZND6,B001OY45TS,Agathoklis,"[0, 0]","Robert Siodmak is a director of enormous talent who like Douglas Sirk and Nicholas Ray were, I believe, forced to make stupid movies that they had no sympathy with by Hollywood. Hollywood destroyed Nicholas Ray and Douglas Sirk abandoned film making altogether forty years before his death in disgust. Siodmak returned to Germany after the war and continued making good movies until his death (although, he also made some duds in Germany).Siodmak is remembered for The Killers (another excellent film noir) and the lousy The Spiral Staircase. At his best, he had great control of actors and groups of characters. He was the only director able to control hams like Charles Laughton and Victor Mature. Nobody was able to do this.This movie, like all his consistently brilliant film noirs is complex and excellently acted especially by Barbara Stanwyck. Like Sirk and Ray, at their best, he is in complete control. As in their films minor characters are just as fascinating and complex as the main characters. Note the characterization of the defense attorney who is not interested on whether Thelma Jordan killed her aunt. All her cares about is to win.Note how well the director stages the trial scenes occupying all realistically and dramatically into the scene. See how triumphantly the defense attorney escorts Thelma Jordon to the court through the throng of reporters that are pushing, asking questions and waving cameras in their faces.Siodmak is an underrated genius. Among his works you'll find very bad movies but when he is sympathetic to the material he is a genius as in this case.",5,Brilliant film noir,1399680000,"05 10, 2014",2014,1592,"['Robert', 'Siodmak', 'director', 'enormous', 'talent', 'who', 'Douglas', 'Sirk', 'Nicholas', 'Ray', 'were', 'believe', 'forced', 'make', 'stupid', 'movies', 'had', 'sympathy', 'Hollywood', 'Hollywood', 'destroyed', 'Nicholas', 'Ray', 'Douglas', 'Sirk', 'abandoned', 'film', 'making', 'altogether', 'forty', 'years', 'death', 'disgust', 'Siodmak', 'returned', 'Germany', 'war', 'continued', 'making', 'good', 'movies', 'death', 'also', 'made', 'duds', 'Germany', '.Siodmak', 'remembered', 'Killers', 'excellent', 'film', 'noir', 'lousy', 'Spiral', 'Staircase', 'best', 'had', 'great', 'control', 'actors', 'groups', 'characters', 'was', 'only', 'director', 'able', 'control', 'hams', 'Charles', 'Laughton', 'Victor', 'Mature', 'Nobody', 'was', 'able', 'do', 'this.This', 'movie', 'consistently', 'brilliant', 'film', 'noirs', 'complex', 'excellently', 'acted', 'especially', 'Barbara', 'Stanwyck', 'Sirk', 'Ray', 'best', 'complete', 'control', 'films', 'minor', 'characters', 'are', 'just', 'fascinating', 'complex', 'main', 'characters', 'Note', 'characterization', 'defense', 'attorney', 'who', 'not', 'interested', 'Thelma', 'Jordan', 'killed', 'aunt', 'cares', 'win.Note', 'how', 'well', 'director', 'trial', 'scenes', 'occupying', 'realistically', 'dramatically', 'scene', 'See', 'how', 'triumphantly', 'defense', 'attorney', 'escorts', 'Thelma', 'Jordon', 'court', 'throng', 'reporters', 'are', 'pushing', 'asking', 'questions', 'waving', 'cameras', 'faces.Siodmak', 'underrated', 'genius', 'works', ""'ll"", 'find', 'very', 'bad', 'movies', 'when', 'sympathetic', 'material', 'genius', 'case']",The File on Thelma Jordan; VHS Video
1225410,A2FL0EKQ2EQ9E6,B001OY45TS,"a viewer ""a viewer""","[15, 15]","This review refers to the film ""The File on Thelma Jordon"" which has been officially released by Olive Films on DVD.  I received my copy today and watched the film tonight.  The film transfer on this DVD is better than I could have imagined.  Beautifully restored and pristine!  I love this movie....a great film to watch on a rainy day or evening.  Stanwyck is perfect as a predatory female who lures bland Wendell Corey into her trap.  Why anyone would fall for Corey would be totally unbelievable except for one thing...Stanwyck makes it believable.  She is always excellent and this film is no exception.  The climax packs a wallop and is just one more reason to own this fine film noir.  No one could touch Stanwyck and I'm glad they have finally given this movie a credible release on DVD with a beautiful transfer!  All Stanwyck fans....enjoy!",5,Great Stanwyck Film Noir With Pristine Transfer!,1370476800,"06 6, 2013",2013,850,"['review', 'film', 'File', 'Thelma', 'Jordon', 'been', 'officially', 'released', 'Olive', 'Films', 'DVD', 'received', 'copy', 'today', 'watched', 'film', 'tonight', 'film', 'transfer', 'DVD', 'better', 'could', 'have', 'imagined', 'Beautifully', 'restored', 'pristine', 'love', 'movie', '.a', 'great', 'film', 'watch', 'rainy', 'day', 'evening', 'Stanwyck', 'perfect', 'predatory', 'female', 'who', 'bland', 'Wendell', 'Corey', 'trap', 'Why', 'anyone', 'would', 'fall', 'Corey', 'would', 'be', 'totally', 'unbelievable', 'one', 'thing', 'Stanwyck', 'believable', 'always', 'excellent', 'film', 'exception', 'climax', 'wallop', 'just', 'one', 'more', 'reason', 'own', 'fine', 'film', 'noir', 'one', 'could', 'touch', 'Stanwyck', ""'m"", 'glad', 'have', 'finally', 'given', 'movie', 'credible', 'release', 'DVD', 'beautiful', 'transfer', 'Stanwyck', 'fans', '.enjoy']",The File on Thelma Jordan; VHS Video
1225411,A1G5Q9HBN0EGDV,B001OY45TS,Bobby Underwood,"[14, 14]","""Maybe I am just a dame and didn't know it. Maybe I like being picked up by a guy on a binge."" -- Stanwyck to CoreyComing somewhat late in the noir cycle, this long neglected film is much better and more deserving of the praise given many lesser films in the genre, which have been critically re-evaluated after finding a wider following through video and dvd. The File on Thelma Jordan has a beautiful score from Victor Young, lush photography from George Barnes, and good direction from Robert Siodmak, placing this one into the upper echelon of late 1940's film noir. Robert Siodmak, like his brother Curt, began his career in silent films, but was forced to flee Germany before the war, landing first in Paris, then Hollywood. He found his niche in dark and atmospheric thrillers such as The Spiral Staircase, The Dark Mirror, and The Suspect. A noir specialist, The File on Thelma Jordan is as atmospheric and entertaining as any film the director ever made. It is a shame this excellent Barbara Stanwyck film has been collecting dust in the basement of a studio rather than receiving the wide release it deserves.A marvelous mood of noir and romance is immediately set through Victor Young's orchestra and the lush lens of Barnes, who perfectly frames Barbara Stanwyck and Wendell Corey in a California of palm trees and ocean views, and long lanes and lookouts over the city at night. Beautifully lit and photographed, it is one of the finest examples of noir  cinematography in a film from this period. Victor Young's lovely score for this film compliments it perfectly, and might be one of the best ones you've never heard. Johnny Mercer once stated that you always knew when Victor was in the studio just by the tone of the violin and strings. That romantic touch is in evidence with perhaps his finest score outside of The Uninvited, which produced the beautiful Stella by Starlight. In many ways, this is a minor masterpiece. The lush romance of the first half gives way to the darker aspects of love and crime in the second, only to return in the final moments.Wendell Corey is Cleve Marshall. The Assistant D.A. is avoiding going home to his wife and kids because of his meddling father-in-law. His wife is nice, but too much daddy's girl, emasculating the husband she loves and leaving him vulnerable to the understanding Stanwyck. She walks into his office when he's tight, to ask the police for extra protection at her aunt's house. Seeing he's a decent guy, despite his current state, his charm convinces her to take him for a drink, Though nothing happens, the match has been lit, and soon the flame burns bright blue and orange. Secret meetings between them are all beautifully photographed in noir style while Young's music frames the forbidden romance. Stanwyck underplays her role, giving her a softer shading than usual for this type of film, and it works well. Wendell Corey never achieved big star status, but does an excellent job here opposite one.One night Thelma's aunt in murdered during a break-in and everything changes. A rushed attempt by Cleve and Thelma to alter the crime scene goes south, and suspicion falls immediately on her. Her past with a gambler named Tony, a man seen running from the house, and a will leaving everything to Thelma force his office to charge her with murder. Knowing he's the mystery man seen with her, he craftily manipulates the jury after wangling the prosecutor's chair through less than aboveboard means, hoping he can subtly sabotage the trial in her favor. That's when the film begins anew. For those who think they've seen this all before, there is a terrific twist at the end, with a return to the more romantic framing which had disappeared during the drama of the trial.Ketty Frings' screenplay, based on a Marty Holland story, has a realism which works nicely with the tone Siodmak sets. Paul Kelly as Corey's pal, and Joan Tetzel as his young wife both acquit themselves nicely. Stanley Ridges as the wily lawyer for Stanwyck who knows exactly what's going on between Thelma and Cleve is excellent. Fine, underplayed performances, sympathetic characters, and a terrific mood set by director Siodmak make this one a real winner. Highly recommended.",5,"""The left hand never lets the right hand know....""",1275782400,"06 6, 2010",2010,4224,"['Maybe', 'am', 'just', 'dame', 'did', ""n't"", 'know', 'Maybe', 'like', 'being', 'picked', 'up', 'guy', 'binge', 'Stanwyck', 'CoreyComing', 'somewhat', 'late', 'noir', 'cycle', 'long', 'neglected', 'film', 'much', 'better', 'more', 'deserving', 'praise', 'given', 'many', 'lesser', 'films', 'genre', 'have', 'been', 'critically', 're-evaluated', 'finding', 'wider', 'following', 'video', 'dvd', 'File', 'Thelma', 'Jordan', 'beautiful', 'score', 'Victor', 'Young', 'lush', 'photography', 'George', 'Barnes', 'good', 'direction', 'Robert', 'Siodmak', 'placing', 'one', 'upper', 'echelon', 'late', '1940', 'film', 'noir', 'Robert', 'Siodmak', 'brother', 'Curt', 'began', 'career', 'silent', 'films', 'was', 'forced', 'flee', 'Germany', 'war', 'landing', 'first', 'Paris', 'then', 'Hollywood', 'found', 'niche', 'dark', 'atmospheric', 'thrillers', 'such', 'Spiral', 'Staircase', 'Dark', 'Mirror', 'Suspect', 'noir', 'specialist', 'File', 'Thelma', 'Jordan', 'atmospheric', 'entertaining', 'film', 'director', 'ever', 'made', 'shame', 'excellent', 'Barbara', 'Stanwyck', 'film', 'been', 'collecting', 'dust', 'basement', 'studio', 'rather', 'receiving', 'wide', 'release', 'marvelous', 'mood', 'noir', 'romance', 'immediately', 'set', 'Victor', 'Young', 'orchestra', 'lush', 'lens', 'Barnes', 'who', 'perfectly', 'Barbara', 'Stanwyck', 'Wendell', 'Corey', 'California', 'palm', 'trees', 'ocean', 'views', 'long', 'lanes', 'city', 'night', 'Beautifully', 'lit', 'photographed', 'one', 'finest', 'examples', 'noir', 'cinematography', 'film', 'period', 'Victor', 'Young', 'lovely', 'score', 'film', 'perfectly', 'might', 'be', 'one', 'best', 'ones', ""'ve"", 'never', 'heard', 'Johnny', 'Mercer', 'once', 'stated', 'always', 'knew', 'when', 'Victor', 'was', 'studio', 'just', 'tone', 'violin', 'strings', 'romantic', 'touch', 'evidence', 'perhaps', 'finest', 'score', 'Uninvited', 'produced', 'beautiful', 'Stella', 'Starlight', 'many', 'ways', 'minor', 'masterpiece', 'lush', 'romance', 'first', 'half', 'way', 'darker', 'aspects', 'love', 'crime', 'second', 'only', 'return', 'final', 'moments.Wendell', 'Corey', 'Cleve', 'Marshall', 'Assistant', 'D.A', 'avoiding', 'going', 'home', 'wife', 'kids', 'meddling', 'father-in-law', 'wife', 'nice', 'too', 'much', 'daddy', 'girl', 'emasculating', 'husband', 'leaving', 'vulnerable', 'understanding', 'Stanwyck', 'walks', 'office', 'when', 'tight', 'ask', 'police', 'extra', 'protection', 'aunt', 'house', 'Seeing', 'decent', 'guy', 'current', 'state', 'charm', 'take', 'drink', 'nothing', 'happens', 'match', 'been', 'lit', 'soon', 'flame', 'bright', 'blue', 'orange', 'Secret', 'meetings', 'are', 'beautifully', 'photographed', 'noir', 'style', 'Young', 'music', 'forbidden', 'romance', 'Stanwyck', 'role', 'giving', 'softer', 'shading', 'usual', 'type', 'film', 'well', 'Wendell', 'Corey', 'never', 'achieved', 'big', 'star', 'status', 'excellent', 'job', 'here', 'opposite', 'one.One', 'night', 'Thelma', 'aunt', 'murdered', 'break-in', 'everything', 'changes', 'rushed', 'attempt', 'Cleve', 'Thelma', 'alter', 'crime', 'scene', 'south', 'suspicion', 'immediately', 'past', 'gambler', 'named', 'Tony', 'man', 'seen', 'running', 'house', 'will', 'leaving', 'everything', 'Thelma', 'force', 'office', 'charge', 'murder', 'Knowing', 'mystery', 'man', 'seen', 'craftily', 'jury', 'wangling', 'prosecutor', 'chair', 'less', 'aboveboard', 'means', 'hoping', 'can', 'subtly', 'sabotage', 'trial', 'favor', 'when', 'film', 'anew', 'who', 'think', ""'ve"", 'seen', 'before', 'terrific', 'twist', 'end', 'return', 'more', 'romantic', 'framing', 'had', 'disappeared', 'drama', 'trial.Ketty', 'Frings', 'screenplay', 'based', 'Marty', 'Holland', 'story', 'realism', 'nicely', 'tone', 'Siodmak', 'sets', 'Paul', 'Kelly', 'Corey', 'pal', 'Joan', 'Tetzel', 'young', 'wife', 'acquit', 'nicely', 'Stanley', 'Ridges', 'wily', 'lawyer', 'Stanwyck', 'who', 'exactly', 'what', 'going', 'Thelma', 'Cleve', 'excellent', 'Fine', 'underplayed', 'performances', 'sympathetic', 'characters', 'terrific', 'mood', 'set', 'director', 'Siodmak', 'make', 'one', 'real', 'winner', 'Highly', 'recommended']",The File on Thelma Jordan; VHS Video
1225412,A2E3F04ZK7FG66,B001OY45TS,calvinnme,"[4, 4]","... because my copy isn't here yet. If you refer back to the product most of the reviewers bought, it was produced by some outfit I've never heard of before, which means they probably took some old VHS transfer off of the old AMC and stuck it in a VHS/DVD converter and voila. I have over a dozen of the classic Olive DVDs, and this one is on the way - it was just released a few days ago. Every classic DVD I've received produced by Olive has been a great transfer with great sound. You couldn't ask for more. Well, I could ask for extra features and commentary, but in the age of MOD and streaming, I'm just not going to get that.As for the film itself, it's an interesting twist on an old story - bored and ignored married man meets femme fatale. Except this time the married man is a local prosecutor and the femme fatale winds up accused of murder on his watch. It is very much worth your while, as is anything Ms. Stanwyck is in, even if it is just to watch Ms. Stanwyck. This time, though, she has a story to match her talent and I highly recommend you take a chance. Olive has been putting out a good product with these Paramount/Republic Pictures classic film releases.",5,This review is for the film and for Olive transfers in general...,1370044800,"06 1, 2013",2013,1178,"['copy', ""n't"", 'here', 'yet', 'refer', 'back', 'product', 'most', 'reviewers', 'bought', 'was', 'produced', 'outfit', ""'ve"", 'never', 'heard', 'probably', 'took', 'old', 'VHS', 'transfer', 'old', 'AMC', 'stuck', 'VHS/DVD', 'converter', 'voila', 'have', 'over', 'dozen', 'classic', 'Olive', 'DVDs', 'one', 'way', 'was', 'just', 'released', 'few', 'days', 'ago', 'Every', 'classic', 'DVD', ""'ve"", 'received', 'produced', 'Olive', 'been', 'great', 'transfer', 'great', 'sound', 'could', ""n't"", 'ask', 'more', 'Well', 'could', 'ask', 'extra', 'features', 'commentary', 'age', 'MOD', 'streaming', ""'m"", 'just', 'not', 'going', 'get', 'that.As', 'film', 'interesting', 'twist', 'old', 'story', 'bored', 'ignored', 'married', 'man', 'femme', 'fatale', 'time', 'married', 'man', 'local', 'prosecutor', 'femme', 'fatale', 'up', 'accused', 'murder', 'watch', 'very', 'much', 'while', 'anything', 'Ms.', 'Stanwyck', 'even', 'just', 'watch', 'Ms.', 'Stanwyck', 'time', 'though', 'story', 'match', 'talent', 'highly', 'recommend', 'take', 'chance', 'Olive', 'been', 'putting', 'out', 'good', 'product', 'Paramount/Republic', 'Pictures', 'classic', 'film', 'releases']",The File on Thelma Jordan; VHS Video
1225413,A1R8C8OG7WYDAL,B001OY45TS,Donna Wilson,"[9, 12]","Unfortunately, the quality of this movie was absolutely, completely awful - not even watchable.  It was like a worn tape had been transposed to disc.  Abysmal.",1,Quality of the picture of this movie,1357430400,"01 6, 2013",2013,159,"['Unfortunately', 'quality', 'movie', 'was', 'absolutely', 'completely', 'awful', 'not', 'even', 'watchable', 'was', 'worn', 'tape', 'had', 'been', 'transposed', 'disc', 'Abysmal']",The File on Thelma Jordan; VHS Video
1225414,A31ZTROIW70VSN,B001OY45TS,Mark Mcgee,"[0, 2]","Good image quality on this film noir treat. Barbara Stanwyck got an Oscar for playing the self-sacrificing mother, and she was good (she's always good) but I like her best when she's rottin' to the core.",4,BABS IS AT IT AGAIN!,1379030400,"09 13, 2013",2013,203,"['Good', 'image', 'quality', 'film', 'noir', 'treat', 'Barbara', 'Stanwyck', 'got', 'Oscar', 'playing', 'self-sacrificing', 'mother', 'was', 'good', 'always', 'good', 'like', 'best', 'when', 'rottin', 'core']",The File on Thelma Jordan; VHS Video
1225415,A6YBFRFLTEFJ1,B001OY45TS,mary beggs,"[0, 1]","Barbara Stanwick and Joan Crawford are the best bad girls in the business,and Barbara is at her best in this one.",5,What  a picture.,1397260800,"04 12, 2014",2014,113,"['Barbara', 'Stanwick', 'Joan', 'Crawford', 'are', 'best', 'bad', 'girls', 'business', 'Barbara', 'best', 'one']",The File on Thelma Jordan; VHS Video
1225416,A1FM6UCH6HMKOC,B001OY45TS,"Phil Muse ""Phil""","[38, 40]","The seven previous reviews of this product are seriously misleading. They obviously refer to some bootleg copy put out by a vendor who specializes in selling unlicensed prints of hard to find film classics that must have been taped from TV showings rather than master prints, with results that are just what you have a right to expect. I won't mention them by name, but anyone who admits to Loving The Classics should beware of their products. I am writing this on April 22. The Olive Films version of ""The File on Thelma Jordon"" is not due for release until May 28. Any critiques posted by anyone before that date should be viewed with suspicion.",5,What copy are you talking about?,1366588800,"04 22, 2013",2013,647,"['seven', 'previous', 'reviews', 'product', 'are', 'seriously', 'misleading', 'obviously', 'refer', 'bootleg', 'copy', 'put', 'out', 'vendor', 'who', 'selling', 'unlicensed', 'prints', 'hard', 'find', 'film', 'classics', 'must', 'have', 'been', 'taped', 'TV', 'showings', 'rather', 'master', 'prints', 'results', 'are', 'just', 'what', 'have', 'right', 'expect', 'wo', ""n't"", 'mention', 'name', 'anyone', 'who', 'Loving', 'Classics', 'should', 'beware', 'products', 'am', 'writing', 'April', '22', 'Olive', 'Films', 'version', 'File', 'Thelma', 'Jordon', 'not', 'due', 'release', 'May', '28', 'critiques', 'posted', 'anyone', 'date', 'should', 'be', 'viewed', 'suspicion']",The File on Thelma Jordan; VHS Video
1225417,A230UC1Q07Y33M,B001OY45TS,REDFIRE66,"[4, 5]",This may be barbara stanwyck's darkest film of her career and also the most twisted concept of love and hate ever put on film!,5,VERY DARK FILM!,1370649600,"06 8, 2013",2013,126,"['may', 'be', 'barbara', 'stanwyck', 'darkest', 'film', 'career', 'also', 'most', 'twisted', 'concept', 'love', 'hate', 'ever', 'put', 'film']",The File on Thelma Jordan; VHS Video
1225418,A2NXW3MT1V3BWD,B001OY45TS,"R. Ginocchio ""Classics Fan""","[1, 2]","Barbara Stanwyck plays one of her manipulative roles here, twisting Wendell Corey against his better judgement throughout the picture.  The film does a good job of keeping you guessing on the guilt or innocence of the lead while  continuing to cast both her and Corey in a bad light for their actions.  While not in the category of many of the classics Stanwyck has starred in, it is a pretty good film and will be worth your time if you like noirish dramas or are a Stanwyck fan.  Corey does an admirable job but the film could have benefited from a stronger male lead.",4,Decent little thriller,1365811200,"04 13, 2013",2013,570,"['Barbara', 'Stanwyck', 'one', 'manipulative', 'roles', 'here', 'twisting', 'Wendell', 'Corey', 'better', 'judgement', 'picture', 'film', 'good', 'job', 'keeping', 'guessing', 'guilt', 'innocence', 'lead', 'continuing', 'cast', 'Corey', 'bad', 'light', 'actions', 'not', 'category', 'many', 'classics', 'Stanwyck', 'starred', 'pretty', 'good', 'film', 'will', 'be', 'time', 'like', 'noirish', 'dramas', 'are', 'Stanwyck', 'fan', 'Corey', 'admirable', 'job', 'film', 'could', 'have', 'benefited', 'stronger', 'male', 'lead']",The File on Thelma Jordan; VHS Video
