reviewYear,reviewLength,overall
1998,1056.4942307692309, 4.071153846153846
1999,1393.2174688057041,3.926916221033868
2000,1178.4354293441515,3.9601081812035157
2001,458.9366694011485,4.291058244462675
2002,404.10756656999735,4.276562088056947
2003,823.9914320685434,4.1150550795593634
2004,1356.3011494252873,3.972413793103448
2005,1226.7524613220817,4.064697609001406
2006,1168.5553719008265,4.039669421487603
2007,1159.433103448276,4.006206896551724
2008,1189.9874739039667,3.9324982602644396
2009,1442.1957894736843,3.9957894736842103
2010,1337.9219968798752,4.003900156006241
2011,1176.4182049649905,4.068746021642266
2012,976.6896551724138,4.084291187739463
2013,778.027027027027,3.945945945945946
2014,532.375,4.5
