,reviewText,Title
661053,"Vatel, Fran?ois (fr&Scaron;Nsw&Scaron; v&Scaron;tl)(KEY), fl. 17th cent., French chef, famous in the time of Louis XIV. Mme Marie de S&#x17D;vign&#x17D;,in her letters, speaks of him as the chef of the prince of Cond&#x17D; and says that on a Friday, when the king was coming to dinnerand the fish failed to arrive in time, Vatel committed suicide. The authenticity of this story is doubtful.-The Columbia Encyclopedia, Sixth Edition.2001.Playwright/Screenwriter Tom Stoppard and Director Roland Joffe have taken the Francois Vatel of historical legend and turned him into aquintessential French hero in this fabulous looking but oddly soulless film.  In France in 1671, Louis XIV is King and, as Mel Brooks might say : ""It'sgood to be the King!"" Fab babes are always ready to get their freak on with you and your nobles will do anything to curry favor.  So when the Princede Conde is informed that Louis and his court will be coming to visit his estate , Chantilly, Conde tells his famed steward Vatel to pull out all thestops.  Perversely, Conde, who is in desperate need of money, will have to plunge himself even deeper into debt in the mere hope that Louis willchoose him to command the royal forces in the coming war with Holland.Given a blank check, Vatel proceeds to put on the most sumptuous and ornate feasting imaginable.  There's a moment early in the King's visit whereas the King walks through the garden the scenery rises, collapses, is rearranged and fits together again like pieces of an elaborate puzzle--by itself thisscene is worth the price of admission.  It is remarkable.  As the visit goes on, Vatel must improvise when shortages crop up, must respond to theextravagant requests of the various guests, and must navigate the petty jealousies of the spoiled visitors.  He gets himself in a real bind when hedallies with the beautiful and reserved Anne de Montausier (Uma Thurman) who is both the King's latest favorite and the object of desire of the nastyand vindictive Marquis de Lauzon (Tim Roth).The caged bird imagery that Mr. Joffe resorts to is a tad heavy-handed, but the film nicely captures the stratification of society (though that does makethe relationship between Vatel and Anne rather improbable) and shows the degree to which everyone is subject to the whims of the King, who canmake or break you with the wave of his hand.  Gerard Depardieu as Vatel is appealingly earnest and his total commitment to his work raises it to thelevel of artistry.  He is so decent, and the culture around him so indecent, that we can understand why Anne is attracted to him, even if we don'tbelieve they could have been friends given the circumstances of the day, let alone lovers.Then the story takes a couple of odd twists, one that seems to have been pilfered from Ruggles of Red Gap, as Conde loses Vatel to the King in acard game, then one which matches the fate of the historical Vatel but which occurs for precisely the opposite reason.  In real life Vatel supposedlykilled himself for failing to serve the King well, here he kills himself rather than serve the King at all.  That seems too much license to take withhistory.The film received a well-deserved Oscar nomination for Art Direction, but one wonders if so much energy went into the look of the movie that thefilmmakers lost track of the need to tell a compelling story along with the pretty pictures.  When the climactic scene of the film was going on it cameso suddenly and was shot so obliquely that, not knowing the background of the story,  I honestly didn't realize what had happened right away.  Thelogic they saw on their story boards didn't quite make it to the screen.  It's definitely worth seeing (and DVD is a must), but you can probably watchwith the sound off; it's intended to be looked at more than watched.GRADE : C+",Vatel
678948,"On disc 2, go to choose EXPLORE. When inside the menu screen, which is designed after the inside of the submarine, highlight the Atlantis logo on the bottom of the screen and push UP on your remote. The words &quot;DVD CREDITS&quot; should appear on the screen directly above the logo.",N/A
484037,"I suppose since I am pro-choice all the stuff on abortion in this movie really does not bother me at all.  This movie is definitely not for pro-lifers.  I agree with some of the other reviewers, Hollywood definitely has a political agenda that it puts forth in its movies, but I really don't see how that detracts from the movies all that much because I really liked this film very much.  I really like Tobey Maguire; I think he is a very good actor and his character, Homer Wells, is a very likeable young man that we want to see succeed in life as more than an apple picker, which makes the ending very satisfying for me in some regards.  The best part of the movie is definitely the beginning, which takes place in the orphanage, but I do think that it was really important for Homer to leave the orphanage and experience more of life.  The ending of the movie is bittersweet and kind of unrealistic, but this does not detract from the overall quality of this film.  Lasse Hallstrom is a wonderful director and I am a devoted fan of his movies.  Personally, I liked the movie because it raised some issues and made some arguments that pro-lifer's needed to hear.  Obviously, Hollywood's political agenda is going to make people mad when it disagrees with their political agenda.",The Cider House Rules VHS
690252,"I initially picked up A.D. Police, because I was bored, and wanted an anime series that was reasonablly priced.  I was'nt sure what to expect.  After the second episode, however, I was hooked.A.D. Police has a drawing quality, which makes you want to see it through to the end.  The two main characters, Kenji, and Klaif, have their share of differneces, which effects their role as partners.  Kenji is a loaner cold as ice type of guy.  WHile Klaif is a freindly type, who cna't remember his past.THe sereis takes some interesting twists and turns, as the two partners hunt Voomers (rouge robots) in the city of Genom.  THe setting is the near future, so don't expect a futuristic mech  type anime.  The series works well as is though.While the ending may not be a total surprise, you'll still want to see how everything turns out for the characters.A.D. Police is also a good value for a five hour anime.  If you're looking for a short, but good anime series at a resonable price, give A.D. Police a try.  You won't be disappointed.",N/A
689805,"Monster's Ball is a very intense movie. It garnished Hallie Berry with her Academy Award and I must admit she did a fantastic job, however this movie is not something I would see again. The performances are good and even Peter Boyle is a standout. Hallie tries hard and performs very well.Billy Bob Thorton is also a deep performer in this piece. Coupled with a really weird town and a really backwards thinking community - this movie shows the harsh realities of prejudice, love, hate and rivalry among a father who doesn't love his son and a son who loves his father.I wouldn't recommend this for the faint of heart and it has a real depressing theme - even Hallie's own child gets a strange twist. Overall the DVD doesn't have a lot of extra features but it does have few trailers of some better films. I was disappointed in this and wasn't quite expecting what I saw. I rented it because this is not a film I would buy.",Monster's Ball
537249,"A number of friends who saw and didn't rave about this movie wanted more of a documentary; a &quot;Tora! Tora! Tora!&quot; with modern special effects. I differ: I believe that each movie stands on its own, both technically, and, more importantly, as a story. I liked the earlier film, but its flaw was and is that it is more of a documentary. &quot;Pearl Harbor&quot; may well be a misnomer for a great story that goes well beyond December 7, 1941, but if you can set all that aside, this is, from almost all perspectives, a really good movie. The characters are believeable people experiencing real world problems, and one cannot help but be drawn into the drama thus created. Both male leads do very well, but I thought that special praise goes to Kate Beckinsale for portraying a young nurse who comes face to face with horrendous loss of life and injuries and, as a result, matures as a character from dilletant to combat nurse.  It's a great job of acting. The story of two young flyers starts in their boyhood and beginning careers as Army flyers (There was no US Air Force then, just the Army Air Corps). One (Ben Affleck) flys in the Battle of Britain and is believed killed; his friend ( Josh Hartnett) and his fiancee (Beckinsale) fall in love, and the dramatic tension occurs when Affleck surfaces alive and well. The special effects are fantastic; I never got the sense of a computer trying to fool me, although military historians will note that some of the ships that blow up could not have been at the real attack because their radar masts didn't exist then. But one can always nit pick at details. The fact is that &quot;Pearl Harbor&quot; has suffered somewhat in the press, but don't let that cause you to turn away from it. You are in for a stunning visual experience with this one. And visually and sonically it is all that we have come to expect of the DVD medium.",N/A
434873,"Billy's great here--and a Yankee stadium concert is an inspiration.But the cheesy 80's video effects (Stop motion--strobing, eeech.)get so annoying as to make some of this concert unwatchable.Enjoy Billy's music, but close your eyes!",Billy Joel: Live at Yankee Stadium
540487,"This second effort at a sequel to JURASSIC PARK is a considerable imptrovement over THE LOST WORLD: JURASSIC PARK, but from the science fiction standpoint there is litt;e original to it.  I've written better science fiction plots myself--several of them.  It seems not to occur to any of these hacks that the modern world is a totally alien ecology for dinosaurs, which could comprise an important plot element.",Jurassic Park III VHS
440354,"I have recently purchased a DVD player and although I have had the VHS version of ""Tora Tora Tora"" since it was released I now own the DVD. I also own the DVD of ""Pearl Harbor"" I feel that the computer graphics used to generate the attack scenes in ""Pearl"" are something that can't be equaled and must be seen to be believed, ""Tora"" give a much more detailed and accurate account of the events surrounding December 7, 1941. Since the first time that I saw Tora Tora Tora, I have always been fascinated by the degree of knowledge that the members of the military community in Washington D.C. had of the ""Surprise"" attack by The Japanese Empire. In conclusion, I highly recommend this movie to anyone who has an interest in the events of World War II.",N/A
140096,"How does one describe Blue Velvet? Disturbing, entertaining, romantic (yes, I did say romantic), mysterious, brilliant. Those words all describe Blue Velvet. This is a masterpiece of cinema. With all of David Lynch's brilliance, he has or may never touch a film this great again.Dennis Hopper. Why isn't this man in a category of the legends? Why isn't he revered as much as Pacino, DeNiro or Nicholson? Dennis Hopper can take the most wacked-out roles and transform them into legendary villains (Speed, Apocalypse Now).Kyle MacLachlan does an incredible job with his protagonistic role as does Laura Dern, playing the innocent virgin. Isabella Rossellini is also incredible as the victim, and there is always the cast of crazy characters David Lynch is famous for (Dean Stockwell, Jack Nance, to name a few). But the show is stolen by the script and cinematography. The scene of Dean Stockwell's lip sync is one of the greatest scenes in the history. It's why we have film. Plus, extra mention should me made about the score.Blue Velvet is not for the kids. It has graphic language, nudity and some violent moments not for the squeamish. But if you're in the mood to be disturbed, Blue Velvet is the movie for you.",N/A
520411,"I would just like to start by saying the movie presented in this edition is splendid looking and sounding.The visuals are still stunningly clear and sound still makes me jump out of my seat. The second DVD on the other hand could have been left out. It is just a blantant marketing ploy trying to convince us to buy the video game, Enya's CD, Two Towers, and the extended version of the movie coming out on DVD in November. The two ""In-depth Documentary's"" were made for TV before the movie came out, basically for promotional purposes. One of which I had already seen on Sci-Fi. Knowing that an extended version would be released at a later date and already knowing the sub-par material I bought this edition anyway just because it is the only way to get the theatrical version. Knowing what I did i wasn't suprised at how bad the suplemental material was. I would have been happy if they would have put just a commentary and movie on one disc, but then again I love commentaries.As for the movie itself, it is a great action/fantasy/romance movie. If Tolkien could see this his only complaint would probably be more singing and for it to be longer. Its been along time since I've read the book so i'm not sure how much Jackson cut out but other than the noticable exclusion of Farmer Maggot and Tom Bombadil (sp?) it follows Tolkien's story pretty faithfully. I may get stoned by Tolkien and Peter Jackson fans alike for this comment but i would like to see another Lord of the Rings movie trilogy maybe animated. We need a quality animated version of the movie that maybe can be a little more faithful to the spirit of Tolkien.I bought this edition of the DVD on sale for [money] and i don't think i would spend much more than that for DVD without a commentary and a decent documentary. Once again, the movie is a great little escape into fantasy for three hours or so but it is obvious Jackson wants us to buy two different versions of this movie. And being the sucker I am, I probably will buy the extended version in November.",The Lord of the Rings: The Fellowship of the Ring
698468,"this is not your typical french movie; it offers an updated approach. the movie slowly builds an allegory (through several smaller ones) without rewarding the viewer for all the time spent....unless one who cares about naive games, about building a 'greater sense' around quotidian and minuscule occurences--case in which is not that bad movie altogether.",Amelie
674083,"Explosions and inferno are the key to this movie. Wait, no, Steven Seagal is! Forget Tom Sizemore who cusses like an orphan and Dennis Hopper with his cheesy Irish accent. It's about the Buddhist bomb squad leader who is the genius Steven Seagal. ""I bet she's into some nasty stuff, brotha!"" They 'treat the devices' and make Tom Sizemore do his job. Do some detective work man! Jaime Pressly has a black eye and Tom Sizemore points right at it saying, ""sorry about the eye."" Yes. The explosions are relatively decent for this straight-to-tape film and Nas makes a short appearance, thankfully. The movie is nothing original, but still makes Steven Seagal look like a genius. Cops versus a mad bomber. Enjoyable!",Ticker artisan
30055,"GREAT STUFF! This film and the music is very much like James Bond. This is even better than all the James Bond films combined! Highlights: the ladder fight scene and of course the skateboard chase. this chase is like James Bond's but only it ends better because he jumps off a cliff, grabs a helicopter, the helicopter gets exploded, Jackie lets go, lands into an ice frozen pond and stays under water for about  30/40 seconds. Jackie almost died of hypothermia in this stunt!",N/A
585926,"Perfect for parents who want to sit thru their kids' movies without throwing up. A visual and aural treat for everyone. Visit a world where monsters are just as scared of kids, and are just trying to keep the lights on in their world by eliciting screams from the little ones. clocks in at a brief 1:25, but has nearly three hours of special features. You people who want to be critical of this movie and others of its kind should go soak your heads-you watch too many movies, and it's getting to you. Find another hobby.",N/A
423244,"""Stagecoach"" is a landmark film in so many ways. While probably not the very best western ever created this stunning production is memorable as being one of the first of the genre where just as much emphasis was placed on character development as action. It also marked the breakthrough role (and first collaboration with frequent director Ford) for a young John Wayne after a decade of appearing in countless B films, and the first time that director John Ford used his most favourite location of Monument Valley, Utah for shooting which gives this film an almost out of this world ,mythical quality.Produced in the magical year of 1939 ""Stagecoach"" more than holds its own with all the other great classics produced in that year. Honoured with two Academy Awards for its musical score and the beautiful performance by Thomas Mitchell as the drunken doctor travelling on the stagecoach the film tells a very simple story of the intertwined lives of a group of people travelling through dangerous Indian territory on a stagecoach and how each effects the others lives in different ways. Ford assembled a sterling cast of performers here and apart from Wayne as the wrongly convicted  outlaw the Ringo Kid we have the before mentioned Thomas Mitchell (in the same year that he played Scarlett O'Hara's father in ""Gone With The Wind""), as the drunken doctor who is forced to deliver a baby on route, Claire Trevor in a superb performance as the ""scarlett lady"" Dallas, run out of town for her morals who forms an attachment to Wayne's character , Andy Devine as the coach driver and John Carradine as the shady gambler Hatfield. Donald Meek also registers as the fumbling spirits salesman who keeps having his samples raided by Mitchell. Louise Platt also does some memorable work as the very pregnant Lucy Mallory, travelling on the stagecoach to join her husband who gives birth during the journey and with help from Dallas learns a good lesson in understanding and tolerance of other's failings. ""B"" movie cowboy veteran Tom Tyler also makes a rare appearance as the Ringo Kid's nemesis Luke Plummer who is involved in a shoot out with Ringo at the finale.""Stagecoach"" contains many memorable moments, the most outstanding without a doubt being the lengthy and cleverly filmed Indian attack on route which contains some of the most amazing stunt work seen in films up till then. It is the work of stuntman genius Yakima Canutt who doubled for John Wayne in all the complicated action sequnces such as when the Ringo Kid takes control of the horses leading the stagecoach when it is attacked. These stunt scenes became re-used footage in countless westerns over the succeeding years so brilliant they were and are still considered.While not being a huge fan of the western genre I do love this film for its intelligent writing and attention to character development often not seen in alot of westerns. The beautiful location photography adds a tremendous boost to the overall look of the film and really sets the mood for the whole piece. It is such a landmark film in so many ways already mentioned however for sheer entertainment value for those that like action adventure tales it is unsurpassed. I dont feel you even need to be a western lover to enjoy it so well crafted are the characters and the action story that they are involved in. For stirring western excitement you can't go past John Ford's memorable classic ""Stagecoach"".",Stagecoach VHS
481977,"Want proof that this isn't a true sequel: Even Iron Monkey himself never dresses like he did in the first film.  Before he always had half his face covered, but now he does most his fighting in leisure suits with everyone seeing his face. Even the original music is absent, instead we get a musical score from the movie ""True Lies"" (I know, I own the soundtrack) during the action scenes, repeating the same string in one of the music tracks over and over (almost in every fight--at least at 5 different times!). In fact, besides dubbing in the use of the name ""Iron Monkey"" every once and a while, this is basically an older Donnie Yen movie re-released with the ""Iron Monkey 2"" label. Somebody tried way to hard to market in on the ""Iron Monkey"" name, and it shows quite badly.The only thing that made me keep watching was the frequent appearance of astonishing hyper-kinetic fight scenes choreographed by Yuen Ho-Ping, not the endlessly inventive Yuen Woo-Ping (as Amazon.com states), who came to fame as the fight choreographer of ""The Matrix."" Many people think that Woo-Ping did the fight choreography in this one... but he didn't. Those that have seen many of his other movies will notice the fight scenes lack a certain charisma that only Woo-Ping can deliver. Still, the curious thing is that, after a while, this choppy movie starts to lurch into a good-old kung fu spectacle. Iron Monkey 2 grows strangely compelling. It's as if, through directorial incompetence, the movie has been distilled to the basic elements of cinematic storytelling.This is not Yuen Woo-Ping's work, but I believe you may find it worth it because of Donnie Yen, who many believe is up there in on screen-fighting-fireworks with the likes of Jet Li and Jackie Chan. The other highlight in this movie was the actor who portrayed the son looking for his father --he had incredible martial arts skills in his own right. His fight with Donnie Yen was arguably one of the better ones in the film. The one bad thing was that we get more fighting from this looking-for-father guy than Donnie Yen himself. He's not a bad fighter, but I bought the movie looking for most of the fights with the Iron Monkey himself involved.By itself, you have some good fighting with some really bad dubbing and a reused music track from the movie ""True Lies."" But when you slap the name of the sequel to one of Yuen Woo-Ping's best work to it, too many comparisons will be made.",Iron Monkey 2
88838,"When Exorcist hit the big screen in the seventies, audiences around the nation waited in lines around the block to get into theatres everywhere. This movie revolted, facsinated, and flat out scared the hell out of them, and most of them loved it! The rest either fled the theatre in sheer terror, or became sick, and went home to turn on all the lights, and head straight for church the next AM. Wow. What a movie, and a stroke of brilliant filmmaking, to get an audience to behave as such. There are many subtle scenes that may escape those who only want to see head spinning and green pea soup. Such as the young priest's disturbing dreams about his mother. Young Regan fooling around with an Ouija Board, or the nasty demonic visage that keeps popping it's face throughout the possessed house. Regan eventually transforms into one of the most terrifying monsters in cinematic history. Her possessed 12 yr. old girl character is demonic, vile and pure evil. One can almost feel the chill in her room, or smell her repulsiveness. Dr. Billy Graham himself admitted that the film had a sense of real evil to it. The reason it scares us is fear of the unknown. If one is strictly an atheist, then it is sheer nonsense. But if one has faith in God, or any gods, then possession is a VERY real reality. The fact that the film's screenplay was based on a real story that happened in the Midwest in the fifties, only adds to the sense of dread and terror that one feels alone at night after viewing this movie. Throughout history, and in the Bible there are many mentions of demonic possession. If these instances werent mere seizures, or mental illness, then perhaps the horror that Linda Blair portrays is chillingly real.",N/A
679700,This was a movie that made you think about the games that women and men play against one another.,N/A
