,reviewText,Title
977199,this is just like an extream when a stranger calls (much much better movie). the idea is really good but its low budget and not suspensful. i thought about turning this movie off twice. once in the very begining when you osee two little kids get stabbed and tied together (disturbing and sad) and in the end. people keep saying that its great to see the star get nude but you see her chest because she's tied up and seeing her friends get killed and the killer walkes over and opens her shirt and forces her boyfriend to basicaly assult her. the acting was really not good. the most i can give this not very suspensul and deffinatly not scary movie is two stars.,N/A
944806,"This DVD is for advanced players only!!! Unless you have mastered chord theory, and music theory, or you have a natural ear for pitch you will be in way over your head. It is not really instructional but more of a demonstration. Like many of the ""hot licks"" dvd's its not really structured learning, more of a musician demonstrating some licks. But Gatten moves too fast and is very disorganized. I would not buy this DVD again and wish I had my money back. I would learn about as much just having a DVD of him performing in concert.The best ""Hot Licks"" DVD's I have seen of yet are Warren Haynes Blues and Slide guitar and Ronnie Earl DVD.",Danny Gatton: Strictly Rhythm Guitar
1265655,"Both torture-porn AND a morality tale (killing is BAD!) (yep, that's the message) this film becomes downright silly (complete with glowing demon eyes and a heavy-handed lesson) and throws away an intriguing premise.  Rife with hilarious dialogue (on approaching a farmhouse after a car accident a young couple has this exchange: Him: I hope someone's home.  Her:  Yeah, me too.) and acting replete with serious, slow delivery, this film can only be described as a complete time-waster.",Farm House
20171,I gave this movie 2 stars because it has great actors in it i can't believe what were they thinking about playing in this movie it's just plain not worth watching if your a tcm fan kim i can't believe this movie it's terrible it don't belong with the series no wonder it was delayed they were waiting for matt and Renees big movies to come out,N/A
1103707,"**1/2After the disastrous ""Ocean's Twelve"" was released in 2004, I ended my review by asking, ""We've already had [this saga] sliced 11 and 12 ways with noticeably diminishing results; do they dare go for unlucky 13?""  Well, at long last that question has been answered, and it has come in the form of a good news/bad news proposition.  The good news is that ""Ocean's Thirteen"" marks at least a slight improvement over the previous installment (but then again that`s not a particularly high bar to jump over).  The bad news is that it is ONLY a slight improvement.For this latest entry in the series (which began, it is easy to forget, with the genuinely entertaining ""Ocean's Eleven"" in 2001), writers Brian Koppelman and David Levien, and director Steven Soderbergh have at least had the wisdom to return the boys back to Las Vegas, not having them traipsing all over Europe, as they did in the second installment, on what seemed like a high-cost junket for a bunch of already overpaid actors.  In ""Thirteen,"" Danny Ocean and his ""crew"" of con artist buddies rally behind the ailing Reuben Tishkoff (Elliot Gould), who has just been cheated out of his portion of a brand new casino by his unscrupulous partner, the allegorically named Willie Bank (Al Pacino), who wants the business all to himself.  The plan is to sabotage Bank's place so it will go belly-up even before it officially opens.At the beginning, ""Ocean's Thirteen"" seems like it might turn out to be a fairly decent caper movie, but after about the first half hour or so, a noticeable fatigue and lethargy begin to creep into both the writing and the performances.  Very quickly, the plot runs out of steam and we come to sense that the all-star players - George Clooney, Brad Pitt, Matt Damon, Don Cheadle, Bernie Mac, Andy Garcia, Carl Reiner et. al.- are merely going through the motions, hanging around just long enough to cash their hefty paychecks before heading off to worthier, more artistically rewarding endeavors.  Clooney, Pitt, Damon and Cheadle, in particular, have been striking out on such interesting career paths of late, that, perhaps, their hearts just aren't in this saga much anymore.  And without their acting like it matters, it makes it hard for us in the audience to feel that any of it matters either.""Ocean's Thirteen"" may be better than ""Ocean's Twelve,"" but it's still a largely half-hearted effort that does little to burnish the reputation of the original movie.  I think it's long past time to float this series out to sea so that its fine actors can continue pursuing more worthwhile projects.  We would all benefit from a win-win proposition like that.",N/A
53285,"The first hour of ""Casino"" (1995) represents Martin Scorsese at his best - a mini-masterpiece of cinematic bravado depicting the inner workings of a Las Vegas pleasure palace. Unfortunately, once you get past the dazzling semi-documentary introduction, the remaining two hours become a tired self-parody of the director's earlier crime films. Robert De Niro, Joe Pesci and Sharon Stone cannot redeem a disappointingly melodramatic script by Scorsese and Nicholas Pileggi. In the end, the ambitious yet overlong ""Casino"" fails to pay off.",N/A
1151139,"I was impresses.... After Rocky Balboa,a  movie almost mellow, then Sly produces Rambo IV, one of the most violent movies EVER! Heads split open all the time, knives are plunged into bodies all the time... and the plot begin with a humanitarian mission... Pretty blunt irony...Well, at least this was made the old way: almost no blue or over the top CGI...I just wonder what David Morrell thinks about Sly anda Hollywood did to John Rambo (other than being happy for getiting more dollars from his creation).",N/A
1621581,"They were literally in the kitchen the ENTIRE movie. It could have worked...but it didn't. The acting from supporting actors was poor and I wanted to finish it, but it was a waste of my time. The main cast is not even bad! Idk who convinced them to do this stupid movie.",The Kitchen
157185,"Any horror movie with Michael Gough can't be all bad. The British character actor delivers a classic mad-scientist performance in this low-budget ""King Kong"" knockoff. OK time-filler with a hammy cast and garish Eastmancolor. A pity that Konga doesn't climb Big Ben.",N/A
404191,"I'm sorry, but this IS just another 80's slasher flick.  There is nothing outstanding about Maniac - nothing that elevates it or distinguishes it from all the other films of this type to come out during this decade.  I simply do not understand the reverence felt by many horror fans for this silly, low-budget schlock.  I know I will get slammed with non-helpful votes from people who have already seen it and like it, (in which case I don't see how my review could be helpful or otherwise...) but I hope to possibly dissuade others from making the same mistake I did by purchasing this movie.Joe Spinell plays Frank Zito, our whining, groaning, grunting maniac.  His Mommy locked him in a closet a lot when he was a child and turned him into a self-hating misogynist - well, that and a homicidal schizophrenic.  Frank scalps his victims and uses these scalps as wigs for his beloved mannequins.  That's the premise.  There is also a lazy attempt at a story involving a beautiful photographer who I suppose represents redemption?  Rehabilitation?  A last chance for the violent schizo to rejoin civilized society?The script is pretty awful and it's interpretation by the actors does not help matters.  Spinell's performance is hokey and self-conscious.  However, contrasted with his supporting cast (I think the mannequines gave better performances than Caroline Munroe) he is friggin Olivier.The scene in which Zito stalks and kills the nurse is the most effective sequence in the film.  However, it is nearly ruined by completely unnecessary and ridiculous over-dubbing.  Whatever the problems with live sound might have been, silence would have worked better.  This superfluous dubbing of grunts, gasps, whimpers and heavy breathing does not add to, but rather negates completely, the desired effect of suspense and dread.  The same goes for the voiceover (in lieu of flashback) that explains the abuse Frank suffered from his mother:Little Frank (played by worst child actor in the world): &quot;No Mommy, please.  Please don't lock me in the closet.&quot;Mommy (played by worst actress in the history of theatre):  &quot;You must be punished.  You have been bad again.&quot;Little Frank:  &quot;No Mommy, please.  Please, please don't lock me in the closet.  Please.Mommy:  &quot;You must be punished.  You have been bad...&quot; and on and on and on.  There are other embarrassing moments in the film, but this one is special.Tom Savini's effects are very good, although the movie is not nearly as gory as I expected it to be.  Some of the shots of the mannequines at the end are nice.  But overall, the gritty, nasty feel that was so obviously desired was sabotaged by a bad script and bad acting.  Great acting is not essential for a good low-budget movie.  But if the acting is bad, then your script must be fantastic, or your premise, or your visuals, or something.  There is some good gore here.  That's about it.If you want to see a dark, gritty, and excellent movie about a serial killer, rent or buy Henry: Portrait of a Serial Killer.  Abel Ferrara's Driller Killer is not bad either.",Maniac VHS
