,reviewText,Title
1134943,"The love story between the two gals is simply not believable because there is nothing prior to their ""awakening"" that indicates either one of them was physically or emotionally attracted to the other. Was Nina a lesbian when she first appears on the screen? Was Lisa a lesbian coincidentally working in the restaurant? No clues given. The director (Parma) was ultimately timid about the subject and the first kiss between Nina and Lisa is delivered without spark and passion -- and if there's more to being a lesbian than just two women kissing, you won't find it with these characters. The story of two women destined to find an interest in each other beyond their attachment to the restaurant lacks evolution. Finally, the pseudo-Bollywood ending was not only out of place, but it made whatever came before it absurd.",N/A
1637845,"The cult oddity ""The Ghastly Love of Johnny X"" is one of those rare movies that I suspect will be a complete love-it or hate-it phenomenon.  Some will say the movie is a masterpiece of originality while others will decry it one of the worst movies ever made.  Just watch, I fully stand by this prediction!  For my taste, the movie is neither extreme.  This low budget endeavor is an obvious labor of love to its makers and cast, it has some genuinely memorable moments, but it never really comes together as strongly as you might hope.  I was really looking forward to ""The Ghastly Love of Johnny X"" because the idea really appealed to my oddball sensibilities.  I have been known to champion cult films of this type (Larry Blamire films, for example, come to mind, especially the sublimely silly The Trail of the Screaming Forehead).  Mixing science fiction with musicals with sixties era juvenile delinquents, there is certainly no lack of imagination in director Paul Bunnell's vision.  But the movie is wildly uneven and as much as I wanted to love it, it never fully connected with me.The movie starts off on a distant planet as Johnny Xavier (Will Keenan) stands trial for a seemingly bad attitude and general non-conformity.  Banished to Earth with his acolytes, we next see the group (the self-proclaimed Ghastlys) dolled up like extras in ""West Side Story"" and stomping through the desert in pursuit of Keenen's ex.  On the run, she (De Anna Joy Brooks plays Bliss) enters a desolate diner where she meets up with a innocent soda jerk (Les Williams) and a ruthless music promoter (Reggie Bannister).  When Johnny catches up with her, the movie kicks into a ambitious musical number that serves to introduce the characters more fully.  The plot, such as it is, involves a space suit that gives it owner great power.  Bliss has it, Johnny wants it.  A chase ensues.  Meanwhile, the music promoter enlists Johnny's assistance in staging a big concert with an aging music legend (Creed Bratton) and all of the principles will unite at this event.  From there, things change once again and the rest of the picture is ANOTHER chase across the desert.I just realized as I was writing this that I couldn't concisely make sense of the plot!  And maybe that's some of the problem, the movie feels somewhat unfocused as it covers a LOT of material.  As a parody of delinquent films from the 50's and 60's, the movie works.  As an homage to science fiction of the era, the results are a bit more sketchy.  As a musical, some numbers have their moments.  The only knock-out performance, in my opinion, is Bliss's drive-in seduction scene which caused me to laugh out loud frequently.  Adding Bannister and Bratton to the mix, the story gets increasingly convoluted.  Perhaps the most challenging aspect, though, is a lack of character focus.  Is Johnny X a real bad boy or just misunderstood?  The movie wants to have it both ways.Individual components of ""The Ghastly Love of Johnny X"" can be strong.  Kevin McCarthy and Paul William cameos are fun, Bratton (from TV's The Office) is amusing.  I loved De Anna Joy Brooks as Bliss.  But in the end, the many things that I liked about the movie never came together in a cohesive way.  I know what the movie wants to be, it just isn't as successful as I might have hoped.  Still, I'd recommend it to the right audience.  It's a small film just looking to be discovered by a faithful and rabid cult of followers.  But it definitely won't be embraced by everyone!  KGHarris, 5/13.",The Ghastly Love of Johnny X
661053,"Vatel, Fran?ois (fr&Scaron;Nsw&Scaron; v&Scaron;tl)(KEY), fl. 17th cent., French chef, famous in the time of Louis XIV. Mme Marie de S&#x17D;vign&#x17D;,in her letters, speaks of him as the chef of the prince of Cond&#x17D; and says that on a Friday, when the king was coming to dinnerand the fish failed to arrive in time, Vatel committed suicide. The authenticity of this story is doubtful.-The Columbia Encyclopedia, Sixth Edition.2001.Playwright/Screenwriter Tom Stoppard and Director Roland Joffe have taken the Francois Vatel of historical legend and turned him into aquintessential French hero in this fabulous looking but oddly soulless film.  In France in 1671, Louis XIV is King and, as Mel Brooks might say : ""It'sgood to be the King!"" Fab babes are always ready to get their freak on with you and your nobles will do anything to curry favor.  So when the Princede Conde is informed that Louis and his court will be coming to visit his estate , Chantilly, Conde tells his famed steward Vatel to pull out all thestops.  Perversely, Conde, who is in desperate need of money, will have to plunge himself even deeper into debt in the mere hope that Louis willchoose him to command the royal forces in the coming war with Holland.Given a blank check, Vatel proceeds to put on the most sumptuous and ornate feasting imaginable.  There's a moment early in the King's visit whereas the King walks through the garden the scenery rises, collapses, is rearranged and fits together again like pieces of an elaborate puzzle--by itself thisscene is worth the price of admission.  It is remarkable.  As the visit goes on, Vatel must improvise when shortages crop up, must respond to theextravagant requests of the various guests, and must navigate the petty jealousies of the spoiled visitors.  He gets himself in a real bind when hedallies with the beautiful and reserved Anne de Montausier (Uma Thurman) who is both the King's latest favorite and the object of desire of the nastyand vindictive Marquis de Lauzon (Tim Roth).The caged bird imagery that Mr. Joffe resorts to is a tad heavy-handed, but the film nicely captures the stratification of society (though that does makethe relationship between Vatel and Anne rather improbable) and shows the degree to which everyone is subject to the whims of the King, who canmake or break you with the wave of his hand.  Gerard Depardieu as Vatel is appealingly earnest and his total commitment to his work raises it to thelevel of artistry.  He is so decent, and the culture around him so indecent, that we can understand why Anne is attracted to him, even if we don'tbelieve they could have been friends given the circumstances of the day, let alone lovers.Then the story takes a couple of odd twists, one that seems to have been pilfered from Ruggles of Red Gap, as Conde loses Vatel to the King in acard game, then one which matches the fate of the historical Vatel but which occurs for precisely the opposite reason.  In real life Vatel supposedlykilled himself for failing to serve the King well, here he kills himself rather than serve the King at all.  That seems too much license to take withhistory.The film received a well-deserved Oscar nomination for Art Direction, but one wonders if so much energy went into the look of the movie that thefilmmakers lost track of the need to tell a compelling story along with the pretty pictures.  When the climactic scene of the film was going on it cameso suddenly and was shot so obliquely that, not knowing the background of the story,  I honestly didn't realize what had happened right away.  Thelogic they saw on their story boards didn't quite make it to the screen.  It's definitely worth seeing (and DVD is a must), but you can probably watchwith the sound off; it's intended to be looked at more than watched.GRADE : C+",Vatel
713583,"What's everyone getting so excited about?  This is nothing more than a soap opera where everybody dresses in Victorian clothes.  And unlike, say, Austen or Bronte, there's nothing deeper here:  just a whole bunch of adultery.  In Galsworthy's mind, there is apparently no such thing as love flourishing when it is permitted to do so:  to him, the only real love is forbidden love.One of the things I found infuriating was that the swelling violin music was implying that you're supposed to be sympathizing with the screwball adulteress, Irene, whereas when I was watching it, I was siding with the supposedly evil Soames the whole time.  From time to time he behaved dishonorably, I agree, but I felt that he was far more sinned against than sinning, and that he was the film's true hero.Alas!  The filmmakers didn't seem to agree and kept trying to get me to hate him, which rubbed me the wrong way through the film's length.And the director apparently never met a close-up he didn't like.",N/A
757123,"I bought this DVD with no further knowldge of the movie than it was a Carrie film. I personally own the Special Edition of the 1976 version, the 1999 sequel, and now this little number. I am currently in search of the '76 soundtrack.This TV version falls under the same category as the Sci-Fi sequel to ""Firestarter,"" but definitely holds more value to Carrie fanatics like myself.First off, this vesion is more inclusive as far as holding true to the novel. The camerawork, one might notice, is a tad amateur, but behind the special effects, brilliant performances (especially on Bettis and Clarkson's part), and music that strangely resembles that of the original films--one hardly notices the flaws of this ""modern remake.""The DVD contains no special features, regrettably, but does have some MGM trailers that might encourage you to visit the video store.Have fun,GIGI",N/A
1016909,"The time is late 1948 and the setting is a U.S. Army post in Georgia, bordering on a forest preserve...A Southern amoral wife called Leonora (Elizabeth Taylor) finds a way for her stream desire in an adulterous affair with Lt. Col. Langdon (Brian Keith), carried on almost openly...Leonora gives aperture to her forcefulness and vigor in a passion for horses and riding... She is attached to a handsome white horse she calls Firebird and she provokes her husband by telling him that the animal is indeed a stallion with the emotional nature of man...Leonora's husband (Marlon Brando) is a devious, insecure, impotent Army major, a hidden homosexual preoccupied with an unsociable, lonely rider who canters around the field in the nude and whose sexual emotional stress is diminished, secretively, at the bedside of the major's wife holding her clothes and looking fixedly at her marvelous hot body...Private Williams (Robert Forster) is another lonely man fascinated by the fiery Leonora and her thoughtful and gentle comments to him... He takes to visiting the Penderton house at night looking attentively in the windows, observing with total recall and complete joy Leonora's nakedness, but also watching the Major in his study...Keith's neurotic wife (Julie Harris) is well aware of her husband's affair with Leonora but she only feels well from her close friendship with her houseboy, Anacleto (Zorro David), an affected companion who shares her penchant for the arts and is in every way the opposite of her abrupt, strong husband...Flavored with bitter insinuations and insulting sarcasms, Brando and Taylor's few scenes have enough flames to burn the silver screen... He's a tormented human being while she's delicious but shrill and insensitive... Aware of her physical beauty she fights back when she's rejected, instigating him with her impudent, insolent, shameless manner that offend his very being...",The Marlon Brando Collection: (Julius Caesar / Mutiny on the Bounty 1962 / Reflections in a Golden Eye / The Teahouse of the August Moon / The Formula )
1208381,I got this for a patient that wanted a fire over the holidays.  It worked great and made them very happy.,Fireplace DVD: Real Wood Burning Fire
565917,"This 1972 American International Pictures (AIP) production is low budget, with stock footage obvious at times. Continuity/consistency issues might be annoying to some viewers; Slaughter's marksmanship, for example, goes from lousy point shooting tecnhique (punching his hand toward the target) to barely missing a baddie in the unnamed South American country. (It was Mexico, obviously, but the production was not allowed to name it because of the host's fears of negative tourism publicity.)Decent soundtrack, though it doesn't live up to themain theme. The interracial love scenes were landmark. Career buddy-cop Don Gordon (Bullitt) does light duty here, but beady-eyed Rip Torn was sleazy and downright homicidal: a worthy adversary. Jim Brown seems much tougher here than he did a year later inSlaughter's Big Ripoff. Better still are strong blacksploitation entries such asShaft,Black Caesar,Truck Turner, andFoxy Brown.Genre rating: 3 stars",Slaughter
1043178,"Hard to complain about the lack of original music on this set when that has been more than advertised by other reviewers. I only went ahead and bought this it while taking advantage of a great Amazon sale a few weeks ago in which I paid a very reasonable price for it. Fact is the episodes on this show are really flattened by the substraction of the classic music. The main title is specially ridiculous as the Happy Days theme has taken over ""Rock around the clock"" with the action cleary not matching the music. I wish the soundtrack hadn't been such a big part of the success of this show but by doing this Paramount has made that very clear.  The result is average at best. What's next: a music-less American Graffiti ?",Happy Days: Season 2
850942,"The herky-jerky grainy thing really bothers me:  Meg looks like a white blob with arms.  Even the Beastie Boys' ""Awesome...""--which had many reaching for the Gravol--wasn't as bad as I had been told, given that it took the occasional breather and offered up a clear, well-composed static shot.  Rather than being indie, hip, or uncompromising, the visualization approach taken here seems merely lazy and thoughtless.  Still waiting for the video collection...",White Stripes: Under Blackpool Lights (Cancelled)
