,reviewText,Title
1574865,"This was so gross I could not even get passed the language. I am so upset I wasted my money on this. It was gross, the language was horrid, everything about it was trash. Poor waste of time.",N/A
895893,"This movie got a shudder out of me before it even started. I saw thelogo for The Asylum come up and I knew immediately that I was in for 90minutes of cheap, irritating horror film-making. I've come to associatethat logo with some of the worst genre movies ever. Worse than RogerCorman's Concorde label, worse than Avi Lerner's NuImage, worse thanCharlie Band's Full Moon... yes, even worst than Lloyd Kaufman's Tromalabel. The Asylum is, hands down, the worst cheap movie horror outfitin the history of cinema in my opinion. So, as I said, the logo came upand I shuddered involuntarily. But that was the only scare of the wholemovie.The Asylum is true to form with ALIEN ABDUCTION. The early scenes of acrew of campers out in the woods are poorly lit, poorly acted andpoorly edited. About ten minutes in, our hiking quartet is attacked bya bunch of lizard-alien-monster things. It looks like the suit camefrom a B-movie clearance house. It might have been a leftover Godzillasuit for all I know. The filmmakers apparently knew that the suit wasridiculous because they coated it with bad CG prismatic colors. Haven'tseen that done since ""Darkhunters"".So after the alligator aliens capture our hikers by throwing stuffedpantyhose at them (I'm not kidding - watch the movie), the screen goesblack for a second and then we meet our four hikers again inside thealien spaceship. Our female protagonist keeps filming everything withher Handicam to give the movie that ""real"" quality. Because so often,when I'm abducted by alligator aliens, I feel the need to capture thewhole experience for posterity. They try to escape, the alligatoraliens catch them and eviscerate them, throwing intestines all over theplace with bloody glee.Cut to some sort of Government Secret Hospital. Our heroine is the onlyone to have survived the experience and she has no memory of whathappened to her. Her doctor tries to jog her memory with pictures ofaliens and flying saucers, but to no avail. Meantime, Ilsa the She-Wolfwatches from behind the mirror and makes all kinds of arch statementslike, ""I don't like her. Terminate her."" The doctor begs for just alittle more time. Our heroine manages to escape from her captors andher clothes several times over the course of the movie. After an hour,I had seen the heroine's breasts so often that I was starting tomemorize her freckles.So our heroine runs around, taking off her shirt, trying to avoidaliens and help her friends (who are in fact alive!) escape from theinstitution. But when she finally faces off with Ilsa, guess what....she's not really a human at all! In a startling reveal that you willnot see coming if you sleep through the first hour, we find out thatour heroine is actually an alien sleeper agent! At this point, themovie tries to become a poor man's version of Impostor - but if PhillipK. Dick heard me say that, he'd probably roll in his grave. Obviouslysomebody at the Asylum watched the Gary Sinise/Dimension version ofImpostor and thought, ""Let's do that, but with alligator men! We'llcall it Alien Impostor! No, wait, that will give away the twist.... howabout ALIEN ABDUCTION!""",Alien Abduction
1156278,"When did ""spoof"" movies quit being funny?Even at a short 84 minutes, this lame excuse for a movie went on WAY longer than needed.If only the viewer would get at least 1 or 2 good laughs while watching this thing.But it isn't to be.Stay away from this one.Don't even rent it.I'm sorry I wasted the time to watch it.Save yourselves! Run for your lives!",Meet The Spartans
801460,"The only movies we could see without scratchy screening, very bad sound, faded pictures was &#34;The First Time I Saw Paris.&#34; We were disappointed that Amazon would sell something this poorly done. It is a waste of money.",Family Classics 50 Movie Pack Collection
1043897,"Not to get me wrong, I'm a big fan of The Dukes of Hazzaed. I loved the series, I liked the cartoon, I even enjoyed the 2005 movie.  But, The beginning is a Disgrace to The Dukes, and The General Lee.  But most of all, it's a insult to us fans.",The Dukes of Hazzard: The Beginning
1498292,"this movie had pretty poor acting, poor plot and totally inappropriate. I guess my curiosity got the best of me.",The Human Centipede 2: Full Sequence
940528,"Ok....after getting this and not being able to get it to work on any of my players I thought it was because it was damaged but i think its because of the region.Anyway, I finally viewed this at a friends and was appalled.Period! it stinks and is one of the poorest,cheap dvd's I've ever seen.Being an Alice Cooper Fanatic from age 13 and still am, i cried.He's at his worst here in my opinion.I saw Alice in concert back in 1976 and was thrilled.It was totally awesome and very theatrical but this concert is not worth 2 cents even if you're a die hard Coop fan as I am.I wouldn't waste your time or money with this.The sound is terrible and so is the picture quality.It's like a cheap camera set up was used to photo and record using a low budget newbie college student for a camera man hanging a small mic.Alice should be ashamed of himself for having this out in the public.Would the real Alice Cooper please stand up and come forth.Walk away people.",N/A
1569099,It was a pretty stereotypical chick flick that had me reaching for my iPad within 20 minutes. My wife fell asleep.,N/A
756197,I found the content sordid and gratuitous.  It would have been better if the producers would have just stuck to the spy storyand leave the other rubbish to one's imagination.,Cambridge Spies
1540628,"I thought what the heck it seemed to be rated 4 stars it should at least be entertaining.  I could not have been more wrong.  What was off about the movie?  For starters the worst acting EVER!! I mean infomercials are more believable than this pile of steaming mess!!  The plot was foolish and I could not help but think it was some evil rip off of pretty woman.Jesus this was worse than having a tooth pulled without novacane!  I guess 4 stars is not always what is advertised!  I am thinking the actors friends and family rated this crap, because anyone with an IQ above 12 could not think this was worth watching.I think it is the worst movie I have EVER SEEN!!  Now I am going to rinse my eyes with bleach!!!",Going Down in LA-LA Land
