id,asin
0,0000695009
1,0000791156
2,0000143529
3,0000143588
4,0000143502
5,000073991X
6,000107461X
7,0000143561
8,0001499572
9,0001526863
10,0001421409
11,0001517791
12,0001485423
13,0001527665
14,0005000009
15,0005054885
16,0005059836
17,0005019281
18,0005022134
19,0005055121
20,0005089549
21,000503860X
22,0005114349
23,0005090288
24,0005123968
25,0005119367
26,0005092663
27,0005019222
28,0005134188
29,0005164850
30,0005123909
31,0005165687
32,0005200288
33,0005349559
34,0005419263
35,0005048524
36,0005452287
37,0005097258
38,0005114276
39,0005445825
40,0006486576
41,0006588204
42,0012175447
43,0020110006
44,0075723840
45,0078781418
46,0126604258
47,013022183X
48,0131903748
49,0140882847
50,0253012015
51,0253030471
52,0253030935
53,0307141144
54,0307142477
55,0307142493
56,0309011329
57,031008136X
58,0310081785
59,0310085756
60,0310081483
61,0310090431
62,031020559X
63,0310213851
64,0310266378
65,0310271908
66,0310275288
67,0310279623
68,0310278899
69,0310280923
70,0310285062
71,0310326893
72,0310329396
73,0310328683
74,0310329353
75,0310333083
76,0310396271
77,0310396336
78,0310582792
79,0310699851
80,0310699606
81,0310691621
82,0310691281
83,0310819415
84,0310817730
85,0310875250
86,0310878802
87,031087968X
88,0310893984
89,0310894913
90,0310890322
91,0314197400
92,0375810331
93,0384948251
94,0394828666
95,0394878566
96,0439835410
97,0439838010
98,043983791X
99,0446536547
100,0473164450
101,0495189502
102,0510539610
103,0534538916
104,0544451791
105,0563228156
106,0570088933
107,0578002019
108,0578047861
109,0607987162
110,0615111017
111,0615113702
112,0615115187
113,0615212050
114,0615208185
115,0615229492
116,061524226X
117,0615279392
118,0615536255
119,0615544266
120,0615690076
121,0618585559
122,0620335513
123,0652122450
124,0679884815
125,0687497590
126,0692002146
127,0714860239
128,0718003411
129,0718003373
130,0718017978
131,0718017781
132,0736051546
133,0736060316
134,0736546278
135,0736925856
136,0736928936
137,0736937714
138,0736943676
139,0738921335
140,073891908X
141,0738921696
142,0738920762
143,0738920444
144,0738921467
145,0738920061
146,0738921629
147,0739040294
148,0739040375
149,0739062654
150,0739073095
151,0739094858
152,0739093959
153,0739601636
154,0740309323
155,0740316591
156,0740307320
157,0740318748
158,0740319094
159,0740318543
160,0740318942
161,0740318764
162,0740321846
163,0740324640
164,0740319140
165,0740325124
166,0756030870
167,0756030099
168,0756035856
169,0756032709
170,075662827X
171,0756645034
172,0756638917
173,0756682711
174,0757915655
175,0757919324
176,075792347X
177,0757938892
178,0757991637
179,0757990290
180,0760103496
181,0760113858
182,076011157X
183,0762709960
184,0764000446
185,0764003828
186,0764003410
187,0764005804
188,0764006053
189,0764008722
190,076400297X
