,0
reviewLength,1056.4942307692309
overall,4.071153846153846
reviewLength,1393.2174688057041
overall,3.926916221033868
reviewLength,1178.4354293441515
overall,3.9601081812035157
reviewLength,458.9366694011485
overall,4.291058244462675
reviewLength,404.10756656999735
overall,4.276562088056947
reviewLength,823.9914320685434
overall,4.1150550795593634
reviewLength,1356.3011494252873
overall,3.972413793103448
reviewLength,1226.7524613220817
overall,4.064697609001406
reviewLength,1168.5553719008265
overall,4.039669421487603
reviewLength,1159.433103448276
overall,4.006206896551724
reviewLength,1189.9874739039667
overall,3.9324982602644396
reviewLength,1442.1957894736843
overall,3.9957894736842103
reviewLength,1337.9219968798752
overall,4.003900156006241
reviewLength,1176.4182049649905
overall,4.068746021642266
reviewLength,976.6896551724138
overall,4.084291187739463
reviewLength,778.027027027027
overall,3.945945945945946
reviewLength,532.375
overall,4.5
