,reviewText,Title
364313,"I first saw this glittering fantasy tale on the silver screen with my family when I was a young teenager. I truly love the mystic world full of such whimsical creatures such as multi-faced courtiers, a gigantic swamp  tortoise, a rock-eating giant, an eldery elfin couple, and so on forth.  Especially the flying white dragon that greatly resembles a big, friendly  puppy dog! In this film, a brave young boy being chased by school bullies  and having to put up with an indifferent dad secretly smuggles a  unusual-looking book out of an musty old bookstore. Then he hides in a  school closet to read all about &quot;himself&quot; as the hero setting out  on a great quest to save the dying world from the unseen evil. Imagine a  young child becoming quite enthralled by a real storybook, especially the  part where he cries over the death of the hero's horse deep in the depths  of a treacherous swampland. And there are also frightening parts  in this  imaginative yarn as well, yet it is still quite a welcome change for young  people being raised in the age of really gross and scary movies like  &quot;The Gremlins&quot; and &quot;The Blade Runner&quot;. However, the sad  thing about &quot;The Neverending Story&quot; is that it is eventually  reduced to direct-to-video kiddie fodder those days.",The NeverEnding Story VHS
81609,"From the day he was born, Simon Birch was different. No bigger than a baby bird, doctors predicted he would never last the night. But he did. Then they said he would never last a week. But he did. Eventually, Simon grew into a little boy, fortified by the staunch belief that God had made him small for a reason, that God not only had a special plan for him but that he was going to be a hero. His story is related by a narrator, Simon's best friend as a child, now grown-up. We only see him twice - at the beginning and at the end - but it's this character, played with incredibly sensitivity by Jim Carrey (who curiously gets no screen credit) that bookends the narrative. Veteran screenwriter and now first-time director Mark Steven Johnson has created a cinematic fable, suggested by John Irving's ""A Prayer for Owen Meany."" Since the story begins in a graveyard in Gravestown, Maine, by the tombstone of ""Simon Birch,"" we know that the pivotal character died at the age of 12, so the only dramatic tension revolves around when, where, and how this tragedy occurred. The problem with the structure of the film is that it's so obviously melodramatic and manipulative. In the title role, Ian Michael Smith, who is afflicted with a rare enzyme disorder, Morquio Syndrome, compensates for his ""vertical challenge"" with a truly magical display of talent. And Joseph Mazzello delivers a truly remarkable performance as Simon's best friend (the young Jim Carrey) whose single mother, played by Ashley Judd, refuses to reveal the name of his father, thus providing the curious boys with an ongoing mystery. Oliver Platt and David Straithairn provide stalwart support",N/A
258376,"I first saw ""The Day After"" in its entirety in 1989. The film is a ""horror"" story about nuclear war, which concentrates on areas around Kansas City. Jason Robards plays a doctor. He is one of the survivors who makes his way back to the hospital, which is being swamped with the injured and the sick.The scenes of the holocaust are quite spectacular (for their time) and this is the highlight of the film. After that the film seems to drag. Survivors wandering around hopelessly, getting sick and dying. I know this is what would happen in reality but I don't think the film needed to go on for as long as it did. It managed to be a disturbing story until I saw the British film ""Threads"", which was far more realistic and far less sentimental.When you analyze ""The Day After"" you start to wonder how realistic it really is. If nuclear war really happened, it's highly unlikely that a hospital would be able to help anyone. (That was put across quite graphically in ""Threads"".) Is a car really a safe place to hide from a nuclear explosion? If my memory serves me correctly, Jason Robards wasn't even scratched! All the other people around him were dead.If you want to see the ""real"" consequences of nuclear war, see ""Threads"". (If you can find it.) It was directed by Mick Jackson, better known for his film ""Volcano"".",N/A
508462,"After several years of seeing them doing literary adaptations for Disney, it's nice to see the Muppets getting back to some original material.  It is the funniest, wackiest Muppet movie since The Great Muppet Caper.Knowing parodies of ID4, Close Encounters of the Third Kind and The  X-Files added extra chuckles.The only flaw is that they don't sing their  own songs like they did in previous movies, but you can't have everything.  If you are a Muppet fan, you will enjoy this movie (unless you are  expecting a feature length version of Pigs in Space).",N/A
469497,"It's amazing how BWP has actually split people evenly into the pro/&quot;I love it&quot; to the con/&quot;What the hell is this?&quot; crowds.  I for one loved this film for it's &quot;chill&quot; factor.  I've been watching horror films (Hammer, etc.) and reading horror books and comics (King,  Barker, etc) since I can remember, and I still think that BWP is by far the  scariest piece of fiction ever made largely due to it's realism and the way  it prompts viewers to &quot;visualize&quot; the implied terror in Heather  and crew's film.For maximum effect (especially for those who  &quot;just didn't get it&quot; including a number of my friends with whom I  have been heartily debating this for quite some time now), I'd suggest  buying this DVD (it's really worth it especially given the fact that it's  loaded with special features such as the  fake documentary et al coupled  with its low price relative to higher priced DVDs whose only so-called  special features are interactive menus - as  well as one or two theatrical trailers) and watching  &quot;Curse of the Blair Witch&quot; first before viewing the feature film.  Then, as a recap, try getting a copy of the BWP Dossier which more or less  goes a step further in providing an epilogue of sorts to the film with a  post-investigation &quot;seance&quot; of sorts conducted by Buck Buchanan  and party at the site (Rustin Parr's house), with spine-tingling results!  At best, you'd really, really get scared and at worst, you'd probably find  the whole thing still unintelligible but still you can't deny and keep from  being impressed at the overall effort and creativity exhibited by the maker  of BWP in propagating the whole mythology.",Curse of the Blair Witch VHS
415982,"Let's face it, comedy is what Hollywood does the WORST.  Anybody with a couple of bucks and some bathroom humor can call it a comedy and get it distributed.  That's why when you come across a REALLY funny movie....you  must TELL PEOPLE!  If you like witty, realistic, sarcastic dialogue  delivered by a perfact cast this is the movie to buy.  MTM was robbed of a  supporting actress Oscar nod.  Stiller, Arquette and Leoni are quite funny!  I don't normally compare movies, but, it you liked &quot;Something About  Mary&quot; this is a pretty safe bet for you too!  Best Moment: Stiller  walking in on Arquette and Josh Brolin!",Flirting With Disaster VHS
95066,This is deffinitely one on Hitchock's most chilling thrillers.  The suspense keeps you ready to explode at any moment.  The cinematography in the strangling scene is incredibly powerful.  A must-see for any Hitchcock  fan.,N/A
394660,"I have been a fan of Raymond Carver ever since high school. The storys were great, and the movie was wonderful. I especially loved Lyle Llovett, and Andie Macdowell and their story. And of course Tom waits and Lily  Tomlin were wonderful.",Short Cuts VHS
507882,"It's an interesting exercise in documentary film-making, but the sources are so dubious, you have to question Broomfield's judgment in relying solely on them. The film is missing something -- it never ties it all  together or pushes its points through to their conclusions.Tom Grant's  conspiracy theory is refuted only from one angle, but never fully explored.  Broomfield seemed to have worked hard to get the film made, but doesn't  seem to have done enough actual reporting. Surely he could have dug up  better people to ask about K &amp; C.And as an earlier review has said,  the film can't make up its mind about what direction to go in.For those  of you seeking proof of a Courtney-headed conspiracy, it's not here,  although the documentary does make a compelling case that Courtney is  manipulative and sometimes vicious.For me, the highlight of the film  came near the end when Broomfield essentially hijacks an ACLU dinner at  which Courtney was the keynote speaker. As Broomfield begins to ask a  question of Courtney, the head of the ACLU shouts &quot;Get off the  [expletive] stage!&quot; Great irony.So, unless you're a big fan of  Broomfield, Kurt, Courtney, or the Mentors, you should rent this, but not  buy it. IMO, it's not worth watching twice.",N/A
213767,"Unlike the glossy and melodramatic ""The Day After"", ""Testament"" is a low-budget PBS film that will keep you riveted to your seats.  It is about the aftermath of global war as seen from the eyes of a small town, and in  particular, one close-knit family.  Be forwarned, this movie is powerful  and unrelenting.  As the movie moves forward, it becomes more and more  depressing, and by the time the credits roll up, the viewer is spent.As  stated by the other reviewers, Jane Alexander's performance is nothing  short of magnificent, and I've never seen anything to match it.  (If memory  serves me, I believe Kevin Costner has a small part in the film--although I  am far from certain about this).  Although you won't have any warm fuzzy  feelings after you turn off the VCR, this is a film that shouldn't be  missed.  Between 1 and 10, ""Testament"" gets a solid 9.",Testament VHS
