,reviewText,Title
570875,"After watching the first Blair Witch movie i had something like &quot; i hope they don't make a sequel&quot;. So i didn't went to the the cinema to see  Book of Shadows. But when i saw it standing on the shelfs in the video store i had a feeling like i have to see it!! And i'm glad i saw it! It has not much to do with the original Blair Witch movie, but this one on it's self is a great movie! A very chilling movie and great music makes this movie for me one of the best i've seen this year. I think it's a very scary movie and the acting isn't that bad as most of the people say. If you like good horror movies this is definitly one to watch!!!",N/A
562928,"Loads of great and violent kungfu action. Nice costumes. Great cast, oh just buy it!",Chinese Super Ninja VHS
303353,"Lucille Ball and Desi Arnaz were brilliant together, but they deserved better than this film.  As Lucy says herself in her autobiography: &quot;Forever Darling&quot; has an underdeveloped plot and poor shooting.  Nothing really happens; the characters just breeze along from one irrelevant scene to the next.  However, the movie does have some pretty funny lines . . . in a mindless sort of way. If you need a good Lucy and Desi movie, let me suggest &quot;The Long, Long Trailer.&quot;",Forever Darling VHS
70643,"What would you do  if one day a world-famous actor walked into your struggling bookstore? You find out in this romantic comedy destined for success.  In one of Julia Roberts better roles, she acts straight from the heart, and her and Hugh Grant's chemistry surprisingly works quite well.  Although at times it seems a bit dreary, the feeling quickly disappears when you see the press conference, in a wonderful conclusion to a sweet and charming &quot;chick flick&quot;. All in all, this timeless tale is a heartwarming story of two people who make the perfect fit in an imperfect world.",Notting Hill VHS
261394,"Unlike so many sequels intended for family movies, this vehicle never talks down to the audience or has a too thin plot--if anything it is too thick.Fox not only must go forward in time to save his kids from a gang arrest, but must go back into 1955 to regain a book that had been lifted from him by long time nemisis Biff. If he does not retrive the Sports Almanac from Biff, his 1985 presence will also be threatened by Biff's &quot;good fortune&quot;.In an industry that has currently interpreted comedy as licence to make as many gross jokes as often as possible, the reunion of Fox and Lloyd reminds us that it is possible for people to be funny without resorting to crude humor.Fox is the usually likeable boy---and girl next door(he plays his daughter Marlene in the future segment)and even when his character does something really dumb or snaps at another character, the audience members cannot help but place themselves in his shoes.",Back to the Future 2 VHS
24215,"Perhaps Cleo, or, indeed, Corinne Marchand, is an existentialist, because she faces the prospect of a diagnosis of cancer with remarkable equanimity.  Initially it is unclear whether the diagnosis is to be made my a medical doctor or by a tarot reader.  In any case the potential illness prompts Corinne to indulge in recurrent journeys around Paris in automobiles, most notably a Citroen DS, and this provides for some marvellous footage.  She also regales us with some banal but amusing popular songs.  The minor characters, too, keep the laughs bubbling, not least the alleged love interest who is relentlessly earnest (could he be developing cancer too?) and irremediably short of stature.  Agnes Varga certainly knows her art, but it is doubtful whether she intended to dutifully explore the emotions inherent in the premiss of film.  This is a stylish and knowing entertainment, not some harrowing meditation on death and disease - enjoy with a bowl of bouillabaisse, a baguette, and a glass of semillion.",N/A
505758,"It's like a Technicolor wet dream filled with sexy Asian people, sexuality, sensuality, love, hate, art, death, the art of sex &amp; violence, poisoned lipstick, dismembered sex organs, fashion, pop culture, trends, disturbances, diseased minds, diseased scums of the Earth, lesbians, beauty, etc... This is THE masterpiece! ...the most beautiful movie I have seen! This is better than 'Robotrix' &amp; 'Sex &amp; Zen'!",N/A
491173,"Eight traveling vacationers witness the sudden car-crash and slow final death of con-man Smiler Grogan in the hills above Palm Desert, Cal.. Grogan's dying words reveal the secret location of $350,000 hidden in Santa Rosita Park, near San Diego. This sparks a wild, hectic race for the dough. Pure greed,buried treasure, and car crashes. It's all here. &quot;It's a Mad,Mad,Mad, Mad World&quot; was the most successful movie directed by ace Stanley Kramer. All of the famous television and film comics from 1963 appear in this wild comedy. Only Bob Hope is missing. The cast includes Milton Berle, Sid Caesar, Phil Silvers, Jerry Lewis, Joe E. Brown, The Three Stooges, Buster Keaton, Jimmy Durante, Jack Benny, Jonathan Winters, and Spencer Tracy. Ernest Gold composed an original booming, wonderful soundtrack you'll be humming for days. At two hours and 41 minutes, &quot;Mad World&quot; is too long, but an incredible cast and mad-cap action propel the story along. This new MGM DVD is presented in widescreen anamorphic 2.35:1 aspect. The colors are crisp and vibrant. The &quot;Mad World&quot; DVD includes an excellent 1991 documentary with all the major surviving cast members. There's also 1 hour of &quot;out-takes&quot;, faded and damaged, from the original Cinerama 70mm release. And there's two trailers. The year 2001 produced an obvious remake of &quot;Mad World&quot; called &quot;Rat Race&quot;, a modest hit. Stanley Kramer and Spencer Tracy made 4 classic films together. The last was the inspiring &quot;Guess Who's Coming to Dinner&quot; in 1967. In ill health, sadly, Tracy died just days after shooting ended. Stanley Kramer himself died in Feb. 2001. His genius is now gone. His legacy lies before you.",N/A
481277,"Daughter of Dr. Jekyll is a competent if somewhat lacklustre little Saturday-afternoon time-waster for B-horror fans. Personally, I find little evidence of director Edgar G. Ulmer's celebrated genius on display here (sorry Ulmerophiles). The movie never really rises above it's poverty-stricken origins, yet rarely generates genuinely enjoyable Bad Film ambience either. Gloria Talbott (The Cyclops, I Married a Monster from Outer Space) is radiant as Janet Smith [Jekyll], genre icon John Agar is his usual tabula rasa self, and Arthur Shields is annoyingly Barry Fitzgerald-ish as 'kindly' Dr. Lomas. The script by no-budget producer Jack Pollexfen (Neanderthal Man, Indestructible Man, Monstrosity) is strictly pedestrian, a curious hodgepodge of the Jekyll/Hyde story and werewolf/vampire legends, incorporating such hoary devices as the secret passage behind the bookcase and the monster leering at the half-dressed cheesecake model. The embarrassingly corny &quot;are you sure?&quot; opener and closer is sure to cling to your brain like an exceptionally irritating TV commercial. The movie also suffers at times from lack of budget (exteriors of the 'mansion' are an all-too-obvious model), although it does boast some terrific-looking cobwebs and atmospheric fog scenes. Keep an eye out for the underutilized though potentially quite effective red/green filter technique employed, if less than stunningly, for the monster's climactic transformations (see Mamoulian's 1932 Jekyll &amp; Hyde, She Devil [1957], or Bava's Black Sunday for its much more effective application). Trivia note: Talbott apparently was co-featured with herself on a double-bill of this movie and The Cyclops back in 1957.Allday continues their tradition of giving first-class DVD treatment to neglected films with this release. The 1.85:1 letterboxed DVD is mastered from the original 35mm fine grain positive and looks excellent overall in terms of brightness, contrast, sharpness, grayscale, and shadow/highlight detail. There is some sporadic very light speckling and spotting, a few stretches with very minor vertical scratches, and some of the exteriors and fog scenes look a bit soft and grainy, but the source print is still far above average for a film of its type and age. Extras include an overall excellent-quality, lightly speckled trailer; isolated music and effects track; still and poster gallery; and on-camera monologues by John Agar (9 mins) and Arianne Ulmer Cipes (16 mins). Ms. Cipes discusses the preservation/legal issues involved with the movie and DVD release, recalls producer Jack Pollexfen, and compares today's indie filmmakers with Ulmer in his pioneering early years. Agar reminisces about his early John Ford films and Universal-era SF flicks, relating precious little about DoDJ; genre fans who read 'zines like Scarlet Street, Psychotronic Video, or Filmfax regularly will learn virtually nothing new in his segment. The movie is gets 3 stars, the DVD package rates 4 or 5.","Daughter of Dr. Jekyll: Edgar Ulmer Collection, Volume Three"
550334,"Bandai is one company that knows what it's doing. Instead of releasing two or three episods on one DVD, they go ahead and release 9 full episodes on a 2 DVD set, for almost half the price. Outlaw Star is the story of Gene Starwind, a gunslinging &quot;outlaw&quot; in a distant future where humanity has expanded life into all corners of the universe. He and Jim Hawking, his young sidekick, are out to just make it big when they run into a mysterious woman who says needs protection until she leaves the planet. Eager to be paid big bucks for such a simple assignment, Gene and Jim jump at the offer, but soon find out that the woman is &quot;Hot Ice&quot; Hilda, a rebel pirate who is running away from the Kai Pirates who are after her and the secret she hides. This secret turns out to be Melfina, a beautiful bioandroid Hilda had been stashing away in cryogenic sleep. Gene and Jim are caught up in more trouble than they can handle as they end up having to escape from their planet, Sentinel III, and head deep into space. These first 9 episodes of Outlaw Star are mainly just there to establish the characters, their personalities, and motivations, as well as the basis of the story... Although there are a few filler episodes here and there.These DVDs include two language tracks, Japanese and English, and optional English subtitles. Outlaw Star would be one of my favorite anime series for one reason alone: The great voice acting in the original Japanese track. Outlaw Star truly has some of the best acting in any anime series I have ever watched. Every character is brought to life by the excellent acting of the entire cast. Shigeru Shibuya's voice matches Gene's personality perfectly. There couldn't possibly be a better person to cast as Jim than Rika Matsumoto. Aisha is voiced perfectly by Yuko Miyamura, who is quite possibly the best part of the entire show. After listening only once to her portrayal of Aisha, you'll absolutely fall in love with her voice and how it GIVES her character an identity. Then there's Ayako Kawasumi as Melfina, who gives her character a gentle and innocent voice. The list could go on forever. There really isn't anything wrong with the English dub. It's well-casted, as Bandai dubs usually are, it's just that when compared side-by-side with the Japanese track, it suddenly seems very mediocre.The picture quality of these DVDs is crystal clear, sharp and just plain amazing. The menus are quite average. I never particularly liked Bandai's DVD menus. In my opinion, they're too loud and too flashy. You have to wait for a long animation to complete, and a loud clip of music each time you choose a different menu selection. The extras on these DVDs aren't anything special. You have an image gallery full of character sketches and a non-credit opening theme song. The character sketches are quite nice, but they only occupy about half the screen, with the other half belonging to the over-complicated menu. A full-screen gallery would've been a lot nicer addition.Despite a few small problems like limited extras and poor menus, the low cost, the fact that you get 9 whole episodes, and the quality of the show itself makes this is one to keep.",N/A
